GO	description	category	D1_S02_1L-s_R03	D1_S02_2.5L-s_R01.1	D1_S02_2.5L-s_R01.3	D1_S02_10L-s_R02	D1_S02_10L-m_R01	D1_S02_10L-m_R02	D1_S20_30L-m_R123	D1_S023_10L-m_R01	D1_S023_10L-m_R02	D1_S320_10L-m_R01	D1_S320_10L-m_R02	D1_S320_10L-m_R03	D1_S20_120L-m_R01	D1_S20_100L-m_R02	D1_S023_60L-m_R01	D1_S023_100L-m_R02	D1_S023_60L-m_R03	D1_S320_60L-m_R01	D1_S320_100L-m_R02	D1_S320_60L-m_R03	D1_S20_496L-m_R00	D1_S20_100L-m_R02	D1_S20_100L-m_R03	D1_S023_100L-m_R01	D1_S023_100L-m_R03	D1_S320_100L-m_R03	D2_S20_100L-m_R11	D2_S023_1000L-m_R00	D1_S02_1L-s_R01	D1_S02_1L-s_R02	D1_S02_10L-s_R01	D1_S02_2.5L-s_R01.2	D1_S02_2.5L-s_R01.4	D1_S02_10L-s_R03	D1_S02_10L-m_R03	D1_S023_10L-m_R03	D1_S20_60L-m_R03	D1_S20_100L-m_R01	D1_S023_496L-m_R00	D1_S023_100L-m_R02	D1_S320_496L-m_R00	D1_S320_100L-m_R01	D1_S320_100L-m_R02	D2_S20_1000L-m_R00	D2_S023_100L-m_R11	D2_S320_1000L-m_R00	D2_S320_100L-m_R11	D1_S20_776L-m_R00	D1_S023_716L-m_R00	D1_S320_716L-m_R00
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular function	92	79	80	83	42	62	0	172	68	7	2	1	18	6	151	175	144	69	36	51	13	1	13	124	138	78	1	87	89	122	123	135	122	103	151	85	1	9	165	166	55	48	35	1	185	43	62	15	182	91
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological process	0	0	0	0	0	0	5	0	0	0	0	0	5	7	0	0	0	0	0	0	11	3	2	0	0	0	5	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	7	0	0	0	12	0	0
GO:0000123	histone acetyltransferase complex	cellular component	0	1	0	1	0	0	5	2	1	1	0	1	8	14	2	1	1	1	0	0	9	1	4	1	0	0	11	1	0	1	2	0	0	0	2	0	17	13	0	0	0	0	0	16	0	0	2	14	4	1
GO:0000124	SAGA complex	cellular component	0	0	0	0	1	0	2	1	0	0	2	0	6	9	1	0	3	1	0	2	8	5	4	0	0	1	4	0	0	0	0	0	0	0	2	1	7	8	0	1	0	1	1	5	1	1	0	8	1	1
GO:0000128	flocculation	biological process	0	1	0	2	1	0	0	3	0	0	0	0	0	0	0	5	3	0	0	0	1	0	0	3	1	0	0	1	0	2	2	4	2	2	1	1	0	0	2	3	0	1	1	0	3	1	0	0	3	2
GO:0000139	Golgi membrane	cellular component	10	13	11	3	10	9	6	26	14	24	30	3	44	35	33	6	18	15	32	7	36	8	35	4	2	43	9	9	17	15	16	12	16	6	47	39	24	24	6	15	9	9	21	17	14	34	25	35	20	63
GO:0000145	exocyst	cellular component	1	0	0	0	0	2	24	1	0	0	1	0	29	41	3	0	1	0	3	1	37	14	22	0	0	2	14	0	0	0	0	0	0	0	6	1	30	36	0	0	0	1	0	22	2	4	3	46	0	3
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	6	7	6	0	4	5	0	8	3	8	10	2	26	5	9	3	2	5	13	0	12	0	11	1	0	21	0	1	2	13	8	3	2	4	16	12	0	4	0	1	3	5	3	0	5	16	12	3	5	22
GO:0000150	recombinase activity	molecular function	119	106	110	105	41	80	3	289	124	34	7	3	61	24	222	251	198	114	57	77	42	4	38	246	206	174	4	156	180	232	220	218	175	190	330	125	3	13	287	303	73	73	60	5	379	67	95	30	399	190
GO:0000151	ubiquitin ligase complex	cellular component	1	4	3	0	1	4	4	8	2	9	9	0	22	29	10	5	3	6	6	2	27	9	14	2	2	9	12	4	4	8	4	2	5	2	14	7	17	25	2	3	2	4	2	16	7	2	6	24	7	11
GO:0000154	rRNA modification	biological process	112	91	93	99	57	87	2	228	91	13	10	2	36	16	188	218	211	106	45	62	29	1	31	206	234	108	2	167	136	189	166	180	150	153	278	114	3	16	256	278	66	62	56	1	304	56	73	31	347	133
GO:0000155	phosphorelay sensor kinase activity	molecular function	772	605	579	647	415	575	6	1269	616	161	86	51	383	199	1131	1309	1199	703	365	511	328	16	322	1033	1177	730	35	884	913	1170	1086	1149	1016	989	1467	736	14	174	1362	1453	551	510	437	23	1478	467	537	347	1744	996
GO:0000156	phosphorelay response regulator activity	molecular function	75	65	67	72	41	63	1	122	65	8	8	5	28	10	124	127	108	64	34	42	23	0	19	96	117	67	5	81	86	98	105	101	93	85	121	57	0	14	113	117	51	43	35	2	115	43	40	30	149	73
GO:0000159	protein phosphatase type 2A complex	cellular component	4	9	0	1	4	1	15	6	5	8	5	0	32	28	17	3	6	4	8	1	28	9	24	5	1	17	18	1	5	6	1	3	4	1	20	6	37	28	4	2	4	5	3	18	3	4	12	43	6	15
GO:0000160	phosphorelay signal transduction system	biological process	1572	1203	1251	1385	834	1175	17	2613	1277	346	248	127	916	513	2336	2580	2420	1462	830	1097	764	34	754	2158	2301	1565	59	1769	1980	2498	2309	2443	2137	2103	3244	1593	44	414	2925	3132	1108	1131	887	41	3184	1010	1207	812	3670	2191
GO:0000162	tryptophan biosynthetic process	biological process	181	145	147	162	100	145	2	296	151	19	10	4	46	14	275	292	276	133	70	94	31	2	40	230	259	143	9	222	206	266	257	256	252	231	342	170	0	14	311	338	97	106	69	6	356	91	114	43	378	183
GO:0000166	nucleotide binding	molecular function	6514	5456	5164	5858	3562	4888	275	11005	5350	1062	799	269	3636	1799	10164	10937	10166	5490	3264	3900	2635	240	2769	9134	10056	6172	523	7704	8855	10883	10325	10996	9858	9201	14770	7402	512	1439	12858	13768	4688	4672	3666	508	14044	4081	5000	2670	15914	8831
GO:0000172	ribonuclease MRP complex	cellular component	5	2	4	3	1	3	1	4	2	1	1	0	2	2	9	7	8	3	1	2	4	0	1	4	4	2	2	1	4	5	5	5	6	3	13	5	2	1	4	6	2	2	2	2	2	1	2	6	9	2
GO:0000175	3'-5'-exoribonuclease activity	molecular function	174	131	131	164	94	125	4	318	147	26	17	10	90	32	289	335	290	140	66	101	47	3	63	241	252	150	12	187	223	287	265	292	257	245	418	191	7	33	337	347	121	120	93	9	381	106	134	58	423	228
GO:0000176	nuclear exosome (RNase complex)	cellular component	0	0	0	0	0	0	2	1	0	0	0	0	5	2	0	0	0	0	0	0	4	0	5	0	0	0	2	0	0	0	0	0	0	0	1	0	4	3	0	1	0	0	0	2	0	0	0	3	0	2
GO:0000178	exosome (RNase complex)	cellular component	3	2	2	2	1	2	3	3	1	1	0	0	2	4	4	2	2	2	1	0	4	1	3	2	2	1	1	0	2	4	2	4	3	2	4	2	2	2	1	1	0	1	0	2	1	0	1	3	2	2
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	151	129	126	135	80	124	2	300	129	20	10	2	50	22	244	294	275	139	62	87	37	3	40	266	303	146	5	219	186	241	217	254	210	207	347	156	3	19	331	362	90	80	73	4	386	79	90	42	449	179
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological process	1	1	0	0	1	1	8	2	0	2	3	1	18	25	3	1	0	5	0	1	28	6	18	0	0	1	6	0	1	1	2	1	2	1	5	3	22	22	1	2	1	1	2	13	1	6	4	29	0	7
GO:0000186	activation of MAPKK activity	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GO:0000213	tRNA-intron endonuclease activity	molecular function	6	8	10	7	4	3	2	10	5	6	2	0	7	8	16	10	7	5	3	3	13	0	4	5	7	8	5	1	9	12	6	9	8	9	20	9	7	8	7	12	4	3	5	7	3	3	4	9	16	7
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	1	1	0	1	0	0	2	1	0	1	0	4	4	3	0	0	0	1	1	7	1	4	0	1	3	2	0	1	0	0	0	0	1	3	1	1	4	1	0	0	1	0	1	0	2	1	3	0	2
GO:0000226	microtubule cytoskeleton organization	biological process	8	5	5	1	7	5	19	14	3	9	6	1	39	40	13	5	7	6	7	3	36	11	23	1	0	18	15	3	7	7	6	3	9	1	19	12	26	32	1	3	5	4	3	24	8	4	10	45	3	18
GO:0000228	nuclear chromosome	cellular component	2	3	1	1	2	0	2	7	3	1	0	0	12	4	4	0	3	3	1	0	10	2	5	1	0	4	4	0	5	4	3	2	3	2	5	3	8	5	1	4	1	1	1	6	3	2	1	13	1	5
GO:0000245	spliceosomal complex assembly	biological process	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0
GO:0000256	allantoin catabolic process	biological process	79	69	71	72	49	51	4	145	76	6	1	0	32	14	132	147	142	54	40	49	26	2	33	106	122	84	2	88	111	145	156	151	138	137	219	113	9	11	191	207	67	63	50	5	181	42	52	26	246	119
GO:0000270	peptidoglycan metabolic process	biological process	97	89	84	92	53	75	1	148	91	5	5	3	37	12	149	154	136	79	42	60	22	2	26	127	145	78	5	108	121	136	137	146	142	127	176	113	1	13	166	166	58	59	50	3	177	55	62	27	209	115
GO:0000271	polysaccharide biosynthetic process	biological process	96	83	80	97	42	72	0	197	86	23	6	0	44	13	173	196	165	78	40	63	35	0	30	152	169	87	0	135	106	151	161	166	135	137	187	89	1	8	189	219	68	70	57	0	239	65	68	41	267	123
GO:0000272	polysaccharide catabolic process	biological process	14	5	7	10	7	9	0	30	12	2	5	5	18	11	33	25	21	17	8	9	10	3	11	15	12	12	0	8	14	16	14	17	15	13	44	15	2	7	15	21	16	8	9	0	19	9	11	18	33	25
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	4	0	0	0	0	1	2	0	1	0	1	0	0	0	0	1	3	2	0	0	0	1	1	3	0	0	1	4	0	0
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	9	7	5	8	5	7	4	14	6	7	9	3	20	16	19	12	11	16	10	8	20	3	18	7	11	10	11	10	12	11	10	10	8	10	25	5	17	21	14	14	9	5	3	10	11	13	19	23	16	12
GO:0000278	mitotic cell cycle	biological process	2	3	0	1	2	0	6	2	1	3	1	1	8	19	1	1	1	3	4	0	26	4	13	0	0	2	11	0	1	1	3	0	0	1	5	3	22	25	0	0	3	0	2	14	0	4	3	24	2	8
GO:0000281	mitotic cytokinesis	biological process	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	0	0	0	1	0	1	0	0	0	2	0	0
GO:0000286	alanine dehydrogenase activity	molecular function	52	45	46	51	22	37	0	89	43	5	1	0	12	6	74	92	79	40	20	24	10	0	13	65	71	45	2	51	50	68	62	69	61	62	99	44	0	5	84	80	32	19	14	1	102	25	22	9	98	59
GO:0000287	magnesium ion binding	molecular function	2771	2291	2247	2489	1489	2070	75	4618	2266	432	297	108	1236	585	4267	4698	4247	2299	1284	1689	881	76	965	3756	4129	2594	175	3149	3594	4266	4196	4487	4015	3780	6024	2967	122	491	5110	5468	1881	1820	1463	158	5625	1637	1991	1033	6508	3579
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	1	0	0	0	0	0	3	1	0	0	1	0	4	7	3	0	0	0	1	0	7	2	4	0	1	5	3	0	1	0	2	0	0	0	3	1	7	9	0	0	0	0	0	3	0	3	0	6	1	1
GO:0000302	response to reactive oxygen species	biological process	0	2	0	1	0	0	0	2	1	0	0	0	0	0	2	3	2	1	0	0	0	0	0	2	3	1	0	1	1	3	3	2	1	2	3	1	0	0	2	2	0	0	1	0	2	0	0	0	3	2
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	14	9	13	8	9	8	0	23	13	1	2	2	12	8	22	21	18	15	7	15	12	0	12	19	21	13	2	9	15	16	12	22	16	19	25	11	3	4	22	23	6	6	2	3	17	6	11	10	32	22
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	2	2	2	0	0
GO:0000350	generation of catalytic spliceosome for second transesterification step	biological process	1	0	0	1	1	1	2	2	0	0	2	0	13	6	3	1	0	1	1	2	6	1	1	0	0	2	3	0	0	1	1	1	2	0	2	2	8	5	0	0	0	0	0	4	1	2	5	6	1	2
GO:0000387	spliceosomal snRNP assembly	biological process	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	2	0	0	0	6	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	8	10	9	2	5	5	27	15	5	13	14	3	57	52	22	5	12	7	17	3	62	13	38	1	1	17	23	4	13	13	8	7	7	9	33	19	48	51	2	1	7	13	7	27	5	18	18	56	17	28
GO:0000400	four-way junction DNA binding	molecular function	8	11	5	7	4	7	1	23	6	1	2	4	8	2	18	16	21	14	5	8	6	0	5	34	21	13	0	15	11	17	12	18	11	10	21	10	0	3	16	19	8	8	3	0	27	12	8	6	31	21
GO:0000408	EKC/KEOPS complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	biological process	387	288	295	332	214	282	23	639	308	120	82	25	303	172	606	600	567	335	215	253	232	30	217	510	562	423	49	396	495	603	576	597	576	505	880	441	83	149	677	753	279	268	218	57	711	270	339	242	884	587
GO:0000439	core TFIIH complex	cellular component	1	1	1	0	4	3	8	12	2	6	6	1	26	20	5	3	5	2	3	2	21	6	13	1	0	6	9	3	4	6	6	2	6	2	16	9	17	20	0	4	3	2	6	15	5	6	8	24	6	12
GO:0000444	MIS12/MIND type complex	cellular component	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0000445	THO complex part of transcription export complex	cellular component	0	0	0	0	1	0	1	0	0	1	2	0	2	1	0	0	1	1	0	0	3	0	2	0	0	0	2	0	0	0	1	0	0	0	2	1	3	3	0	0	0	0	1	3	0	1	1	3	1	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological process	2	0	0	0	0	1	1	1	0	1	1	0	7	4	2	0	0	1	1	1	3	1	2	0	0	0	3	0	0	0	0	0	0	0	2	0	4	5	0	1	1	0	2	5	0	2	3	6	0	3
GO:0000469	cleavage involved in rRNA processing	biological process	1	0	0	0	0	0	3	0	0	0	0	0	5	2	1	0	0	1	0	1	5	2	2	0	0	3	1	0	0	0	1	0	0	1	2	0	4	6	0	0	1	2	0	4	1	0	1	2	1	2
GO:0000502	proteasome complex	cellular component	4	2	1	1	0	3	3	3	2	1	1	0	2	4	7	3	3	4	0	1	4	0	5	3	4	1	2	1	5	2	3	2	2	3	6	2	5	4	2	1	0	1	3	5	1	2	0	7	5	3
GO:0000723	telomere maintenance	biological process	58	43	37	38	47	70	178	68	25	60	42	50	278	315	70	66	63	90	65	62	315	123	190	61	50	110	199	54	63	67	72	70	76	64	100	54	323	324	67	75	66	80	70	275	96	255	183	404	101	188
GO:0000724	double-strand break repair via homologous recombination	biological process	2	1	0	0	0	1	2	2	2	2	1	0	3	5	3	0	1	1	2	1	5	1	2	0	0	1	3	1	2	2	0	0	2	1	3	2	4	5	0	1	0	0	2	3	1	2	1	4	1	1
GO:0000737	DNA catabolic process, endonucleolytic	biological process	9	7	5	6	6	4	1	12	6	7	2	3	13	10	12	11	8	10	6	7	8	1	6	6	7	8	3	2	12	10	9	8	9	7	14	9	3	6	8	8	6	5	5	6	1	1	6	13	10	15
GO:0000746	conjugation	biological process	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	26	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0000772	mating pheromone activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	230	163	182	192	106	171	2	425	185	31	20	6	82	39	376	432	374	174	103	125	65	2	60	333	362	203	9	264	329	347	327	370	327	337	534	232	8	32	460	484	152	146	114	4	521	130	161	60	593	315
GO:0000775	chromosome, centromeric region	cellular component	3	4	1	1	2	0	4	3	1	3	1	1	8	13	2	1	1	3	4	0	20	4	9	0	0	3	7	0	1	2	3	1	2	1	7	5	13	16	0	0	5	1	3	8	0	2	2	15	4	8
GO:0000776	kinetochore	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	5	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	1	2	0	0	0	3	1	0
GO:0000781	chromosome, telomeric region	cellular component	0	0	0	0	0	1	0	0	0	1	0	0	3	2	1	0	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	0	1	0	4	1	2
GO:0000784	nuclear chromosome, telomeric region	cellular component	0	0	1	0	1	1	1	2	0	1	0	0	3	2	4	0	0	1	0	0	3	0	2	0	0	0	1	0	1	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	1	1	2
GO:0000785	chromatin	cellular component	0	0	0	0	0	0	2	1	0	1	0	0	0	3	1	0	0	0	0	0	2	0	1	0	0	1	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	1	1	1	5	0	0
GO:0000786	nucleosome	cellular component	46	36	32	37	33	41	75	58	31	49	47	32	164	158	73	61	52	65	45	48	208	60	121	38	38	84	86	26	64	69	61	70	59	53	130	78	208	223	51	62	56	69	50	158	68	143	126	291	88	157
GO:0000795	synaptonemal complex	cellular component	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	2	1	1	1	1	1	1	2	1	0	0	0	1	1	1	1	0	2	2	1	0	1	1
GO:0000796	condensin complex	cellular component	2	4	1	0	2	0	5	5	0	1	2	0	15	6	5	0	3	2	6	1	13	2	7	0	0	2	4	1	2	3	3	1	2	0	6	2	7	12	0	0	1	4	3	2	1	4	6	14	2	9
GO:0000808	origin recognition complex	cellular component	3	1	0	0	3	1	3	5	0	1	1	0	10	12	5	2	3	2	4	2	14	5	6	0	2	4	4	0	5	4	5	2	3	0	8	6	10	12	0	0	1	1	3	4	2	2	2	12	1	7
GO:0000813	ESCRT I complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0000902	cell morphogenesis	biological process	384	315	322	321	201	282	5	579	287	41	32	15	160	55	565	595	548	290	167	213	105	5	119	507	486	336	12	398	461	595	591	624	564	540	782	414	7	42	708	691	290	250	216	14	736	207	258	110	821	466
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular function	120	99	105	100	54	80	2	217	95	16	13	5	26	15	175	198	192	92	46	60	23	1	34	179	200	99	3	140	144	180	207	204	170	162	262	128	1	14	235	269	74	64	54	5	282	62	83	29	308	150
GO:0000922	spindle pole	cellular component	8	5	5	1	7	5	17	14	3	9	6	1	36	35	13	5	7	6	7	3	31	9	21	1	0	18	13	3	7	7	6	3	9	1	19	12	21	27	1	3	5	3	3	22	8	4	10	40	3	18
GO:0000930	gamma-tubulin complex	cellular component	0	1	0	0	0	0	0	0	1	2	2	0	2	8	1	1	1	2	0	1	8	0	5	1	1	2	4	1	1	1	3	0	0	0	2	0	2	5	0	0	0	3	1	3	1	0	2	6	2	1
GO:0000940	condensed chromosome outer kinetochore	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
GO:0000959	mitochondrial RNA metabolic process	biological process	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	0	0	0	0	0	0	3	0	0	0	0	0	4	4	0	0	0	0	0	0	6	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	1	0	0	0	7	0	0
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular function	0	3	0	4	2	1	2	1	1	5	3	2	5	1	1	1	6	5	3	3	2	0	5	1	1	5	2	3	3	1	6	1	4	3	3	2	0	3	0	2	4	10	3	0	2	3	5	4	2	10
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular function	0	0	0	0	0	0	3	0	0	0	0	0	4	4	0	0	0	0	0	0	6	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	1	0	0	0	8	0	0
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	2	2	2	2	0	2	0	2	2	0	0	0	0	0	2	2	2	2	0	1	0	0	0	3	2	1	0	3	2	2	2	2	3	2	2	0	0	0	2	2	1	1	0	0	2	0	0	0	2	3
GO:0001070	RNA binding transcription factor activity	molecular function	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0
